Date,Open,High,Low,Close,Volume,Daily_return,MA30,Price_Change
2015-02-17,127.489998,128.880005,126.919998,127.830002,63152400,,,0.3400039999999933
2015-02-18,127.629997,128.779999,127.449997,128.720001,44891700,0.006962363968358476,,1.0900039999999933
2015-02-19,128.479996,129.029999,128.330002,128.449997,37362400,-0.0020976071931509965,,-0.02999900000000366
2015-02-20,128.619995,129.5,128.050003,129.5,48948400,0.008174410467288729,,0.8800050000000113
2015-02-23,130.020004,133.0,129.660004,133.0,70974100,0.027027027027026973,,2.979996
2015-02-24,132.940002,133.600006,131.169998,132.169998,69228100,-0.006240616541353439,,-0.7700040000000001
2015-02-25,131.559998,131.600006,128.149994,128.789993,74711700,-0.02557316373720442,,-2.7700049999999976
2015-02-26,128.789993,130.869995,126.610001,130.419998,91287500,0.01265630164293885,,1.6300049999999828
2015-02-27,130.0,130.570007,128.240005,128.460007,62014800,-0.015028301104559105,,-1.5399930000000097
2015-03-02,129.25,130.279999,128.300003,129.089996,48096700,0.004904164453299664,,-0.1600039999999865
2015-03-03,128.960007,129.520004,128.089996,129.360001,37816300,0.002091602822576588,,0.39999400000002083
2015-03-04,129.100006,129.559998,128.320007,128.539993,31666300,-0.006338960989958564,,-0.5600129999999979
2015-03-05,128.580002,128.75,125.760002,126.410004,56517100,-0.016570632612373126,,-2.1699980000000068
2015-03-06,128.399994,129.369995,126.260002,126.599998,72842100,0.0015029981329641728,,-1.799995999999993
2015-03-09,127.959999,129.570007,125.059998,127.139999,88528500,0.004265410809880077,,-0.8199999999999932
2015-03-10,126.410004,127.220001,123.800003,124.510002,68856600,-0.0206858346758364,,-1.9000020000000006
2015-03-11,124.75,124.769997,122.110001,122.239998,68939000,-0.018231499185101585,,-2.510002
2015-03-12,122.309998,124.900002,121.629997,124.449997,48362700,0.018079180596845212,,2.139999000000003
2015-03-13,124.400002,125.400002,122.580002,123.589996,51827300,-0.006910413987394448,,-0.8100060000000013
2015-03-16,123.879997,124.949997,122.870003,124.949997,35874300,0.011004134994874404,,1.0699999999999932
2015-03-17,125.900002,127.32,125.650002,127.040001,51023100,0.016726723090677575,,1.139999000000003
2015-03-18,127.0,129.160004,126.370003,128.470001,65270900,0.011256297140614713,,1.4700009999999963
2015-03-19,128.75,129.25,127.400002,127.5,45809500,-0.007550408596945446,,-1.25
2015-03-20,128.25,128.399994,125.160004,125.900002,68695100,-0.012549003921568658,,-2.3499979999999994
2015-03-23,127.120003,127.849998,126.519997,127.209999,37709700,0.010405059405797168,,0.0899959999999993
2015-03-24,127.230003,128.039993,126.559998,126.690002,32842300,-0.004087705401208175,,-0.5400009999999895
2015-03-25,126.540001,126.82,123.379997,123.379997,51655200,-0.026126805175991752,,-3.1600040000000007
2015-03-26,122.760002,124.879997,122.599998,124.239998,47572900,0.006970343823237357,,1.4799959999999999
2015-03-27,124.57,124.699997,122.910004,123.25,39546200,-0.007968432195242015,,-1.3199999999999932
2015-03-30,124.050003,126.400002,124.0,126.370003,47099700,0.025314425963488763,127.14233266666666,2.319999999999993
2015-03-31,126.089996,126.489998,124.360001,124.43,42090600,-0.015351768251520848,127.02899926666666,-1.6599959999999925
2015-04-01,124.82,125.120003,123.099998,124.25,40621400,-0.001446596479948603,126.87999923333334,-0.5699999999999932
2015-04-02,125.029999,125.559998,124.190002,125.32,32220100,0.008611670020120643,126.775666,0.2900009999999895
2015-04-06,124.470001,127.510002,124.330002,127.349998,37194000,0.016198515799553226,126.70399926666667,2.879997000000003
2015-04-07,127.639999,128.119995,125.980003,126.010002,35012300,-0.010522151716091943,126.47099933333334,-1.629997000000003
2015-04-08,125.849998,126.400002,124.970001,125.599998,37329200,-0.0032537417148839065,126.25199933333333,-0.25
2015-04-09,125.849998,126.580002,124.660004,126.559998,32484000,0.0076433122236194695,126.17766616666667,0.7099999999999937
2015-04-10,125.949997,127.209999,125.260002,127.099998,40188000,0.004266751015593373,126.06699950000001,1.1500010000000032
2015-04-13,128.369995,128.570007,126.610001,126.849998,36365100,-0.001966955184373842,126.01333253333333,-1.5199969999999894
2015-04-14,127.0,127.290001,125.910004,126.300003,25524600,-0.004335790371868931,125.92033276666668,-0.6999969999999962
2015-04-15,126.410004,127.129997,126.010002,126.779999,28970400,0.0038004432984850567,125.8343327,0.36999500000000296
2015-04-16,126.279999,127.099998,126.110001,126.169998,28369000,-0.004811492386902372,125.75533286666665,-0.1100009999999969
2015-04-17,125.550003,126.139999,124.459999,124.75,51957000,-0.011254640742722422,125.6999994,-0.8000030000000038
2015-04-20,125.57,128.119995,125.169998,127.599998,47054300,0.022845675350701367,125.73333273333333,2.029998000000006
2015-04-21,128.100006,128.199997,126.669998,126.910004,32435100,-0.005407476573784931,125.72566623333333,-1.1900020000000069
2015-04-22,126.989998,128.869995,126.32,128.619995,37654500,0.013474044173853894,125.86266599999999,1.6299969999999888
2015-04-23,128.300003,130.419998,128.139999,129.669998,45770900,0.00816360628843138,126.11033266666666,1.3699949999999887
2015-04-24,130.490005,130.630005,129.229996,130.279999,44525900,0.004704257032532855,126.30466606666667,-0.2100059999999928
2015-04-27,132.309998,133.130005,131.149994,132.649994,96954200,0.01819154911108023,126.60666599999999,0.3399959999999851
2015-04-28,134.460007,134.539993,129.570007,130.559998,118924000,-0.015755718767691662,126.79366603333332,-3.900008999999983
2015-04-29,130.160004,131.589996,128.300003,128.639999,63386100,-0.014705874918901407,126.84699930000001,-1.5200049999999976
2015-04-30,128.639999,128.639999,124.580002,125.150002,83195400,-0.02712995201438073,126.73633266666666,-3.4899969999999882
2015-05-01,126.099998,130.130005,125.300003,128.949997,58512600,0.030363523286240035,126.7846659,2.849998999999997
2015-05-04,129.5,130.570007,128.259995,128.699997,50988300,-0.0019387359892687472,126.87799906666666,-0.8000030000000038
2015-05-05,128.149994,128.449997,125.779999,125.800003,49271400,-0.022532976438220054,126.8309992,-2.3499909999999886
2015-05-06,126.559998,126.75,123.360001,125.010002,72141000,-0.006279817020354184,126.7749992,-1.549995999999993
2015-05-07,124.769997,126.080002,124.019997,125.260002,43940900,0.001999839980804108,126.83766603333333,0.49000499999999647
2015-05-08,126.68,127.620003,126.110001,127.620003,55550400,0.018840818795452297,126.95033286666667,0.9400029999999902
2015-05-11,127.389999,127.559998,125.629997,126.32,42035800,-0.010186514413418446,127.05266619999999,-1.06999900000001
2015-05-12,125.599998,126.879997,124.82,125.870003,48160000,-0.003562357504749758,127.03599953333332,0.2700049999999976
2015-05-13,126.150002,127.190002,125.870003,126.010002,34694200,0.0011122507083756172,127.08866626666666,-0.14000000000000057
2015-05-14,127.410004,128.949997,127.160004,128.949997,45203500,0.023331441578740675,127.24533283333334,1.5399929999999955
2015-05-15,129.070007,129.490005,128.210007,128.770004,38208000,-0.0013958356276657646,127.36033296666666,-0.3000030000000038
